metric,n,median,minimum,maximum
sections.backend-pair.results.fork.metrics.circuit_build_ms,5,158.79237500000002,156.56266699999998,163.745125
sections.backend-pair.results.fork.metrics.crypto_prove_ms,5,139.30425,138.395917,142.810458
sections.backend-pair.results.fork.metrics.input_preflight_ms,5,0.464583,0.45375,0.47308300000000003
sections.backend-pair.results.fork.metrics.proof_bytes,5,534768,534768,534768
sections.backend-pair.results.fork.metrics.prove_total_ms,5,143.093209,142.09470900000002,151.352166
sections.backend-pair.results.fork.metrics.prover_setup_ms,5,46.460666999999994,45.890874999999994,54.229333999999994
sections.backend-pair.results.fork.metrics.setup_ms,5,360.188833,356.37625,374.805
sections.backend-pair.results.fork.metrics.total_ms,5,619.8095,610.958125,641.12325
sections.backend-pair.results.fork.metrics.verifier_setup_ms,5,154.670083,151.12300000000002,157.562
sections.backend-pair.results.fork.metrics.verify_ms,5,111.683542,109.470459,114.172208
sections.backend-pair.results.fork.metrics.witness_localcheck_ms,5,3.698667,3.653917,8.959041
sections.backend-pair.results.fork.peak_rss_bytes,5,838533120,835305472,839401472
sections.backend-pair.results.fork.wall_seconds,5,0.6712565420311876,0.6473097500274889,0.6922682499862276
sections.backend-pair.results.upstream.metrics.circuit_build_ms,5,158.35391700000002,156.752541,164.004959
sections.backend-pair.results.upstream.metrics.crypto_prove_ms,5,107.560125,101.110833,112.736042
sections.backend-pair.results.upstream.metrics.input_preflight_ms,5,0.47800000000000004,0.470416,0.49675
sections.backend-pair.results.upstream.metrics.proof_bytes,5,469408,469408,469408
sections.backend-pair.results.upstream.metrics.prove_total_ms,5,111.223834,104.769375,116.44562499999999
sections.backend-pair.results.upstream.metrics.prover_setup_ms,5,46.06525,45.914833,52.8895
sections.backend-pair.results.upstream.metrics.setup_ms,5,361.046417,357.760416,377.930084
sections.backend-pair.results.upstream.metrics.total_ms,5,587.3329160000001,579.3199999999999,611.4188750000001
sections.backend-pair.results.upstream.metrics.verifier_setup_ms,5,156.665,155.092958,163.31462499999998
sections.backend-pair.results.upstream.metrics.verify_ms,5,114.76,110.92375,118.11275
sections.backend-pair.results.upstream.metrics.witness_localcheck_ms,5,3.6635,3.6401250000000003,3.7095420000000003
sections.backend-pair.results.upstream.peak_rss_bytes,5,840482816,840056832,841940992
sections.backend-pair.results.upstream.wall_seconds,5,0.6185843329876661,0.6123719579773024,0.6491019999957643
sections.matched512.results.binius.metrics.addr_bits,5,24,24,24
sections.matched512.results.binius.metrics.and_constraints,5,62870,62870,62870
sections.matched512.results.binius.metrics.bmul_constraints,5,31733,31733,31733
sections.matched512.results.binius.metrics.cfg_buffer_words,5,522,522,522
sections.matched512.results.binius.metrics.circuit_build_ms,5,158.498208,154.991125,161.582
sections.matched512.results.binius.metrics.committed_words,5,131072,131072,131072
sections.matched512.results.binius.metrics.crypto_prove_ms,5,145.1635,139.755375,148.631916
sections.matched512.results.binius.metrics.edge_capacity,5,512,512,512
sections.matched512.results.binius.metrics.edges,5,511,511,511
sections.matched512.results.binius.metrics.ep_buffer_words,5,522,522,522
sections.matched512.results.binius.metrics.ep_capacity,5,512,512,512
sections.matched512.results.binius.metrics.gates,5,241853,241853,241853
sections.matched512.results.binius.metrics.hidden_words,5,127876,127876,127876
sections.matched512.results.binius.metrics.imul_constraints,5,0,0,0
sections.matched512.results.binius.metrics.input_preflight_ms,5,0.474084,0.456125,0.616959
sections.matched512.results.binius.metrics.log_inv_rate,5,1,1,1
sections.matched512.results.binius.metrics.max_multiplicity,5,3,3,3
sections.matched512.results.binius.metrics.max_multiplicity_entry,5,509,509,509
sections.matched512.results.binius.metrics.multiplicity_bits,5,12,12,12
sections.matched512.results.binius.metrics.native_constraint_count,5,116538,116538,116538
sections.matched512.results.binius.metrics.nodes,5,447,447,447
sections.matched512.results.binius.metrics.private_input_words,5,127876,127876,127876
sections.matched512.results.binius.metrics.proof_bytes,5,534768,534768,534768
sections.matched512.results.binius.metrics.prove_total_ms,5,148.869041,143.410916,152.337208
sections.matched512.results.binius.metrics.prover_setup_ms,5,43.263957999999995,42.32825,51.231667
sections.matched512.results.binius.metrics.public_words,5,1129,1129,1129
sections.matched512.results.binius.metrics.rayon_num_threads,5,8,8,8
sections.matched512.results.binius.metrics.rows,5,512,512,512
sections.matched512.results.binius.metrics.setup_ms,5,354.549083,349.278333,363.02908299999996
sections.matched512.results.binius.metrics.total_ms,5,612.2757909999999,604.115416,626.9735410000001
