application,backend,status,verified,rows,edges,n,attempted,warmups,setup_s,prove_s,verify_ms,proof_bytes,proof_KiB,peak_rss_bytes,rss_GB,samples,proof_bits_accounting,failures,failure_type,failure_stage,returncode,failed_attempt_peak_rss_bytes,rss_is_lower_bound
aha-mont64,binius,verified,True,226,54,3,4,1,0.245389917,0.15708775,120.916584,527184.0,514.828125,707444736,0.707444736,"[{""crypto_prove_ms"": 157.08775, ""peak_rss_bytes"": 703741952, ""proof_bytes"": 527184.0, ""setup_ms"": 244.208125, ""verify_ms"": 137.42304099999998}, {""crypto_prove_ms"": 165.962042, ""peak_rss_bytes"": 705380352, ""proof_bytes"": 527184.0, ""setup_ms"": 245.38991700000003, ""verify_ms"": 120.916584}, {""crypto_prove_ms"": 144.669917, ""peak_rss_bytes"": 707444736, ""proof_bytes"": 527184.0, ""setup_ms"": 250.35379200000003, ""verify_ms"": 116.04920800000001}]",,,,,,,
aha-mont64,zekra,verified,True,226,54,3,4,1,3.116,1.4215,4.8999999999999995,,,1158807552,1.158807552,"[{""peak_rss_bytes"": 1154871296, ""proof_bits_accounting"": 1019, ""prove_s"": 1.4133, ""setup_s"": 3.2582, ""verify_s"": 0.0049}, {""peak_rss_bytes"": 1158807552, ""proof_bits_accounting"": 1019, ""prove_s"": 1.5385, ""setup_s"": 3.116, ""verify_s"": 0.0049}, {""peak_rss_bytes"": 1155653632, ""proof_bits_accounting"": 1019, ""prove_s"": 1.4215, ""setup_s"": 3.0495, ""verify_s"": 0.0048}]",1019,,,,,,
crc32,binius,verified,True,26,23,3,4,1,0.178303584,0.127094583,97.64904200000001,512080.0,500.078125,599867392,0.599867392,"[{""crypto_prove_ms"": 121.609875, ""peak_rss_bytes"": 599867392, ""proof_bytes"": 512080.0, ""setup_ms"": 176.56945900000002, ""verify_ms"": 89.900167}, {""crypto_prove_ms"": 151.62258400000002, ""peak_rss_bytes"": 598687744, ""proof_bytes"": 512080.0, ""setup_ms"": 178.303584, ""verify_ms"": 151.895}, {""crypto_prove_ms"": 127.09458300000001, ""peak_rss_bytes"": 597639168, ""proof_bytes"": 512080.0, ""setup_ms"": 186.67612499999998, ""verify_ms"": 97.64904200000001}]",,,,,,,
crc32,zekra,verified,True,26,23,3,4,1,0.5185,0.2739,4.8,,,108253184,0.108253184,"[{""peak_rss_bytes"": 108253184, ""proof_bits_accounting"": 1019, ""prove_s"": 0.2792, ""setup_s"": 0.5146, ""verify_s"": 0.0047}, {""peak_rss_bytes"": 108044288, ""proof_bits_accounting"": 1019, ""prove_s"": 0.27, ""setup_s"": 0.5636, ""verify_s"": 0.0052}, {""peak_rss_bytes"": 108027904, ""proof_bits_accounting"": 1019, ""prove_s"": 0.2739, ""setup_s"": 0.5185, ""verify_s"": 0.0048}]",1019,,,,,,
cubic,binius,verified,True,401,80,3,4,1,0.298817375,0.155658417,117.889209,534736.0,522.203125,823934976,0.823934976,"[{""crypto_prove_ms"": 155.658417, ""peak_rss_bytes"": 822886400, ""proof_bytes"": 534736.0, ""setup_ms"": 302.14466699999997, ""verify_ms"": 117.889209}, {""crypto_prove_ms"": 157.427708, ""peak_rss_bytes"": 823934976, ""proof_bytes"": 534736.0, ""setup_ms"": 294.788375, ""verify_ms"": 111.135375}, {""crypto_prove_ms"": 150.222959, ""peak_rss_bytes"": 823443456, ""proof_bytes"": 534736.0, ""setup_ms"": 298.81737499999997, ""verify_ms"": 126.16166700000001}]",,,,,,,
cubic,zekra,verified,True,401,80,3,4,1,6.5076,2.6251,4.8,,,3105714176,3.105714176,"[{""peak_rss_bytes"": 3105673216, ""proof_bits_accounting"": 1019, ""prove_s"": 2.6251, ""setup_s"": 6.4979, ""verify_s"": 0.0048}, {""peak_rss_bytes"": 3105714176, ""proof_bits_accounting"": 1019, ""prove_s"": 2.6034, ""setup_s"": 6.5076, ""verify_s"": 0.0049}, {""peak_rss_bytes"": 3105009664, ""proof_bits_accounting"": 1019, ""prove_s"": 2.6586, ""setup_s"": 6.9059, ""verify_s"": 0.0048}]",1019,,,,,,
edn,binius,verified,True,228,88,3,4,1,0.257906708,0.13434699999999997,117.76637500000001,527216.0,514.859375,731299840,0.73129984,"[{""crypto_prove_ms"": 131.619, ""peak_rss_bytes"": 730644480, ""proof_bytes"": 527216.0, ""setup_ms"": 257.906708, ""verify_ms"": 111.89437500000001}, {""crypto_prove_ms"": 157.25966699999998, ""peak_rss_bytes"": 731299840, ""proof_bytes"": 527216.0, ""setup_ms"": 282.527042, ""verify_ms"": 118.839792}, {""crypto_prove_ms"": 134.34699999999998, ""peak_rss_bytes"": 711114752, ""proof_bytes"": 527216.0, ""setup_ms"": 246.69666700000002, ""verify_ms"": 117.76637500000001}]",,,,,,,
edn,zekra,verified,True,228,88,3,4,1,3.24,1.4881,4.8999999999999995,,,1273868288,1.273868288,"[{""peak_rss_bytes"": 1273868288, ""proof_bits_accounting"": 1019, ""prove_s"": 1.4925, ""setup_s"": 3.2011, ""verify_s"": 0.0044}, {""peak_rss_bytes"": 1272942592, ""proof_bits_accounting"": 1019, ""prove_s"": 1.4426, ""setup_s"": 3.24, ""verify_s"": 0.0049}, {""peak_rss_bytes"": 1273556992, ""proof_bits_accounting"": 1019, ""prove_s"": 1.4881, ""setup_s"": 3.3608, ""verify_s"": 0.0074}]",1019,,,,,,
huffbench,binius,verified,True,2803,151,3,4,1,1.1149627500000001,0.330394209,234.314458,580480.0,566.875,1797144576,1.797144576,"[{""crypto_prove_ms"": 335.120291, ""peak_rss_bytes"": 1797144576, ""proof_bytes"": 580480.0, ""setup_ms"": 1132.1279579999998, ""verify_ms"": 242.207167}, {""crypto_prove_ms"": 314.612834, ""peak_rss_bytes"": 1795686400, ""proof_bytes"": 580480.0, ""setup_ms"": 1114.9627500000001, ""verify_ms"": 233.924208}, {""crypto_prove_ms"": 330.394209, ""peak_rss_bytes"": 1794326528, ""proof_bytes"": 580480.0, ""setup_ms"": 1046.39175, ""verify_ms"": 234.314458}]",,,,,,,
huffbench,zekra,resource-stop-cgroup-oom,False,2803,151,0,1,1,,,,,,,,,,"[{""failed_attempt_peak_rss_bytes"": 19285983232, ""failure_stage"": ""huffbench:native-1/4"", ""failure_type"": ""cgroup-oom"", ""returncode"": 137, ""rss_is_lower_bound"": false}]",cgroup-oom,huffbench:native-1/4,137,19285983232,False
