application,mode,status,verified,n,attempted,rows,edges,setup_s,prove_s,verify_ms,proof_bytes,proof_KiB,peak_rss_bytes,rss_GB,source_rows,constraints_and_bmul
aha-mont64,complete,verified,True,1,1,1177,54,0.688191,0.18651099999999998,147.351,542320,529.609375,1022246912,1.022246912,1177,162284
aha-mont64,shadow,verified,True,1,1,226,54,0.244367,0.115899,94.051,527184,514.828125,723337216,0.723337216,1177,28780
crc32,complete,verified,True,1,1,3092,23,1.1083610000000002,0.357296,230.189,580416,566.8125,1704689664,1.704689664,3092,311830
crc32,shadow,verified,True,1,1,26,23,0.19058699999999998,0.103354,73.707,512080,500.078125,658358272,0.658358272,3092,9062
cubic,complete,verified,True,1,1,401,80,0.321882,0.137642,107.037,534736,522.203125,812777472,0.812777472,401,54640
cubic,shadow,verified,True,1,1,401,80,0.31047399999999997,0.13453299999999999,106.921,534736,522.203125,811941888,0.811941888,401,54640
edn,complete,verified,True,1,1,4396,88,1.838806,0.6213569999999999,154.055,625136,610.484375,2418147328,2.418147328,4396,626800
edn,shadow,verified,True,1,1,228,88,0.250833,0.12529200000000001,96.064,527216,514.859375,751337472,0.751337472,4396,35568
huffbench,complete,verified,True,1,1,7668,151,1.9218320000000002,0.596054,149.945,625136,610.484375,2345009152,2.345009152,7668,640339
huffbench,shadow,verified,True,1,1,2803,151,1.062883,0.30002100000000004,219.164,580480,566.875,1812365312,1.812365312,7668,335187
matmult-int,complete,verified,True,1,1,38,42,0.20980500000000002,0.10559600000000001,79.468,519600,507.421875,644628480,0.64462848,38,14476
matmult-int,shadow,verified,True,1,1,38,42,0.19568100000000002,0.099613,77.861,519600,507.421875,644857856,0.644857856,38,14476
md5sum,complete,verified,True,1,1,7230,81,1.798998,0.5913630000000001,150.171,625136,610.484375,2409988096,2.409988096,7230,626800
md5sum,shadow,verified,True,1,1,828,81,0.402561,0.142192,125.645,534832,522.296875,902791168,0.902791168,7230,92784
minver,complete,verified,True,1,1,352,115,0.331195,0.157308,107.859,534736,522.203125,812646400,0.8126464,352,54640
minver,shadow,verified,True,1,1,300,115,0.307674,0.137712,108.997,534736,522.203125,810106880,0.81010688,352,54640
nbody,complete,verified,True,1,1,176,50,0.257019,0.127268,97.64,527184,514.828125,723943424,0.723943424,176,28780
nbody,shadow,verified,True,1,1,110,50,0.211917,0.10388299999999999,83.959,519664,507.484375,681246720,0.68124672,176,19244
nettle-aes,complete,verified,True,1,1,1854,114,0.630958,0.186556,145.274,542384,529.671875,1013235712,1.013235712,1854,169072
nettle-aes,shadow,verified,True,1,1,323,114,0.308736,0.130531,109.717,534736,522.203125,813940736,0.813940736,1854,54640
nettle-sha256,complete,verified,True,1,1,116,85,0.23944100000000001,0.117453,86.895,527152,514.796875,701202432,0.701202432,116,26032
nettle-sha256,shadow,verified,True,1,1,68,85,0.229762,0.114573,88.421,527152,514.796875,701284352,0.701284352,116,26032
nsichneu,complete,verified,True,1,1,661,1417,0.821079,0.251124,133.928,580352,566.75,1254096896,1.254096896,661,291291
nsichneu,shadow,verified,True,1,1,657,1417,0.793296,0.241763,135.434,580352,566.75,1245052928,1.245052928,661,291291
picojpeg,complete,verified,True,1,1,137169,892,82.046624,333.933419,777.018,873344,852.875,17654956032,17.654956032,137169,19672915
picojpeg,shadow,verified,True,1,1,34334,892,12.789174999999998,21.804226999999997,219.925,767520,749.53125,14656569344,14.656569344,137169,5015939
primecount,complete,verified,True,1,1,1898,40,0.581148,0.184128,149.25,542320,529.609375,1020821504,1.020821504,1898,162284
primecount,shadow,verified,True,1,1,1449,40,0.570338,0.183115,148.19,542320,529.609375,1020493824,1.020493824,1898,162284
sglib-combined,complete,verified,True,1,1,31758,446,6.39634,5.824111,189.724,722032,705.109375,7943192576,7.943192576,31758,2507355
sglib-combined,shadow,verified,True,1,1,18980,446,6.372417,5.840005,189.438,722032,705.109375,7984054272,7.984054272,31758,2507355
slre,complete,verified,True,1,1,2337,376,1.139629,0.302695,216.304,580480,566.875,1839054848,1.839054848,2337,361611
slre,shadow,verified,True,1,1,718,376,0.49479399999999996,0.174916,122.444,542320,529.609375,958021632,0.958021632,2337,132747
st,complete,verified,True,1,1,1147,56,0.579318,0.186825,149.295,542320,529.609375,1021952000,1.021952,1147,162284
st,shadow,verified,True,1,1,69,56,0.21516300000000002,0.105652,84.569,519664,507.484375,674840576,0.674840576,1147,19244
statemate,complete,verified,True,1,1,232,531,0.438032,0.173916,103.448,542256,529.546875,866254848,0.866254848,232,128379
statemate,shadow,verified,True,1,1,108,531,0.40432999999999997,0.154029,95.512,542224,529.515625,909344768,0.909344768,232,118843
tarfind,complete,verified,True,1,1,3185,57,0.975392,0.304713,217.715,580416,566.8125,1690435584,1.690435584,3185,314860
tarfind,shadow,verified,True,1,1,467,57,0.290411,0.12445300000000001,102.792,527280,514.921875,787578880,0.78757888,3185,47852
ud,complete,verified,True,1,1,413,71,0.305877,0.133364,108.601,534736,522.203125,813531136,0.813531136,413,54640
ud,shadow,verified,True,1,1,304,71,0.31389,0.13575299999999998,109.423,534736,522.203125,811106304,0.811106304,413,54640
wikisort,complete,verified,True,1,1,125806,481,26.450446,84.53948600000001,325.196,819664,800.453125,23960731648,23.960731648,125806,9835843
wikisort,shadow,verified,True,1,1,6796,481,1.876202,0.623181,149.24,625200,610.546875,2396684288,2.396684288,125806,666763
