metric,n,median,minimum,maximum
sections.online.metrics.capture_ms,5,24.421165999910954,23.338708000210318,24.671915999988414
sections.online.metrics.capture_protocol_block_ms,5,129.23816700003954,127.87666600002012,133.09745800006567
sections.online.metrics.challenge_issue_ms,5,1.3270829999783018,1.0870420001083403,1.4396670001133316
sections.online.metrics.device_report_ms,5,49.85050000004776,49.52337499980786,52.480584000022645
sections.online.metrics.normalization_ms,5,21.883290999994642,21.58595800005969,22.803959000157192
sections.online.metrics.private_bytes,5,52835,52835,52835
sections.online.metrics.proof_bytes,5,580416,580416,580416
sections.online.metrics.proof_prove_ms,5,319.681,311.853,336.56
sections.online.metrics.proof_public_preflight_ms,5,0.423,0.398,0.434
sections.online.metrics.proof_setup_ms,5,1052.72,1025.154,1088.357
sections.online.metrics.proof_verify_ms,5,217.106,213.797,237.549
sections.online.metrics.public_bytes,5,3167,3167,3167
sections.online.metrics.registry_reopen_ms,5,0.9612919998289726,0.8181660000445845,1.027083999815659
sections.online.metrics.report_authentication_ms,5,1.2218330000450806,1.1307090001082543,1.5460000001894514
sections.online.metrics.sequential_phase_sum_ms,5,1703.6603340001072,1678.9893740003306,1775.6295410004536
sections.online.metrics.trace_bytes,5,277273,277273,277273
sections.online.metrics.worker_bundle_ms,5,14.457290999871475,14.392125000085798,15.060875000017404
sections.online.metrics.worker_process_wall_ms,5,1658.241332974285,1646.9091670005582,1752.284582995344
