application,status,verified,original_outcome,n,planned_formal_n,planned_warmups,warmups,excluded_control,r1cs_constraints,sample_satisfied,setup_s,prove_s,verify_s,wall_seconds,samples,failures,successful_attempt_samples
aha-mont64,verified,True,proved,1,1,0,0,False,78711,True,2.3484,1.2834,0.0049,6.650131291011348,"[{""proof_bits_accounting"": 1019, ""prove_s"": 1.2834, ""setup_s"": 2.3484, ""verify_s"": 0.0049, ""wall_seconds"": 6.650131291011348}]",,
crc32,verified,True,proved,1,1,0,0,False,35526,True,1.2133,0.6828,0.0048,3.5612436669762246,"[{""proof_bits_accounting"": 1019, ""prove_s"": 0.6828, ""setup_s"": 1.2133, ""verify_s"": 0.0048, ""wall_seconds"": 3.5612436669762246}]",,
crc32-control-500,verified,True,proved,1,1,0,0,True,336230,True,8.6632,4.4644,0.0048,38.77252800000133,"[{""proof_bits_accounting"": 1019, ""prove_s"": 4.4644, ""setup_s"": 8.6632, ""verify_s"": 0.0048, ""wall_seconds"": 38.77252800000133}]",,
cubic,verified,True,proved,1,1,0,0,False,48635,True,1.6177,1.0035,0.0047,6.020886666025035,"[{""proof_bits_accounting"": 1019, ""prove_s"": 1.0035, ""setup_s"": 1.6177, ""verify_s"": 0.0047, ""wall_seconds"": 6.020886666025035}]",,
edn,verified,True,proved,1,1,0,0,False,289862,True,7.855,3.6999,0.0049,34.673742084007245,"[{""proof_bits_accounting"": 1019, ""prove_s"": 3.6999, ""setup_s"": 7.855, ""verify_s"": 0.0049, ""wall_seconds"": 34.673742084007245}]",,
huffbench,resource-stop-cgroup-oom,False,host-memory,0,1,0,0,False,1073260,True,,,,,,"[{""failed_attempt_peak_rss_bytes"": null, ""failure_stage"": ""huffbench:native-1/1"", ""failure_type"": ""cgroup-oom"", ""returncode"": 137, ""rss_is_lower_bound"": false}]",[]
matmult-int,verified,True,proved,1,1,0,0,False,49642,True,1.6122,0.8706,0.0048,4.550841124961153,"[{""proof_bits_accounting"": 1019, ""prove_s"": 0.8706, ""setup_s"": 1.6122, ""verify_s"": 0.0048, ""wall_seconds"": 4.550841124961153}]",,
md5sum,verified,True,unsatisfiable,3,3,1,1,False,289862,True,7.9966,3.7645,0.005,33.75621662498452,"[{""proof_bits_accounting"": 1019, ""prove_s"": 3.7645, ""setup_s"": 7.9966, ""verify_s"": 0.005, ""wall_seconds"": 33.75621662498452}, {""proof_bits_accounting"": 1019, ""prove_s"": 3.8583, ""setup_s"": 8.2502, ""verify_s"": 0.0049, ""wall_seconds"": 36.428035582997836}, {""proof_bits_accounting"": 1019, ""prove_s"": 3.6794, ""setup_s"": 7.6508, ""verify_s"": 0.0052, ""wall_seconds"": 32.9524541660212}]",,
minver,verified,True,unsatisfiable,3,3,1,1,False,164787,True,5.0084,2.4719,0.0051,16.424841707979795,"[{""proof_bits_accounting"": 1019, ""prove_s"": 2.4718, ""setup_s"": 5.0341, ""verify_s"": 0.005, ""wall_seconds"": 16.40305174997775}, {""proof_bits_accounting"": 1019, ""prove_s"": 2.4719, ""setup_s"": 4.8852, ""verify_s"": 0.0051, ""wall_seconds"": 16.46278624999104}, {""proof_bits_accounting"": 1019, ""prove_s"": 2.4728, ""setup_s"": 5.0084, ""verify_s"": 0.0051, ""wall_seconds"": 16.424841707979795}]",,
nbody,verified,True,proved,1,1,0,0,False,49642,True,1.6859,0.8956,0.0051,4.738070958002936,"[{""proof_bits_accounting"": 1019, ""prove_s"": 0.8956, ""setup_s"": 1.6859, ""verify_s"": 0.0051, ""wall_seconds"": 4.738070958002936}]",,
nettle-aes,verified,True,unsatisfiable,3,3,1,1,False,164787,True,4.8159,2.5053,0.0055,16.109850124979857,"[{""proof_bits_accounting"": 1019, ""prove_s"": 2.5053, ""setup_s"": 4.6922, ""verify_s"": 0.0083, ""wall_seconds"": 16.502935707976576}, {""proof_bits_accounting"": 1019, ""prove_s"": 2.619, ""setup_s"": 4.8159, ""verify_s"": 0.0055, ""wall_seconds"": 16.109850124979857}, {""proof_bits_accounting"": 1019, ""prove_s"": 2.441, ""setup_s"": 4.8907, ""verify_s"": 0.0048, ""wall_seconds"": 15.427525583014358}]",,
nettle-sha256,verified,True,unsatisfiable,1,1,0,0,False,104561,True,3.0872,1.5484,0.005,9.682719208009075,"[{""proof_bits_accounting"": 1019, ""prove_s"": 1.5484, ""setup_s"": 3.0872, ""verify_s"": 0.005, ""wall_seconds"": 9.682719208009075}]",,
nsichneu,verified,True,proved,1,1,0,0,False,724837,True,19.7081,9.9833,0.0051,147.14396979101002,"[{""proof_bits_accounting"": 1019, ""prove_s"": 9.9833, ""setup_s"": 19.7081, ""verify_s"": 0.0051, ""wall_seconds"": 147.14396979101002}]",,
picojpeg,verified,True,unsatisfiable,1,1,0,0,False,461926,True,12.3817,6.2641,0.0056,63.869680999952834,"[{""proof_bits_accounting"": 1019, ""prove_s"": 6.2641, ""setup_s"": 12.3817, ""verify_s"": 0.0056, ""wall_seconds"": 63.869680999952834}]",,
primecount,verified,True,unsatisfiable,1,1,0,0,False,515277,True,13.1867,6.0411,0.0049,109.89186166698346,"[{""proof_bits_accounting"": 1019, ""prove_s"": 6.0411, ""setup_s"": 13.1867, ""verify_s"": 0.0049, ""wall_seconds"": 109.89186166698346}]",,
sglib-combined,verified,True,unsatisfiable,1,1,0,0,False,724837,True,19.2874,9.4873,0.0055,143.23327704099938,"[{""proof_bits_accounting"": 1019, ""prove_s"": 9.4873, ""setup_s"": 19.2874, ""verify_s"": 0.0055, ""wall_seconds"": 143.23327704099938}]",,
slre,verified,True,proved,1,1,0,0,False,604324,True,16.5444,8.1022,0.0049,126.47249600000214,"[{""proof_bits_accounting"": 1019, ""prove_s"": 8.1022, ""setup_s"": 16.5444, ""verify_s"": 0.0049, ""wall_seconds"": 126.47249600000214}]",,
st,verified,True,unsatisfiable,1,1,0,0,False,78711,True,2.3561,1.2114,0.0052,6.7350735000218265,"[{""proof_bits_accounting"": 1019, ""prove_s"": 1.2114, ""setup_s"": 2.3561, ""verify_s"": 0.0052, ""wall_seconds"": 6.7350735000218265}]",,
statemate,verified,True,proved,1,1,0,0,False,156498,True,4.8227,2.5498,0.0049,17.760789500025567,"[{""proof_bits_accounting"": 1019, ""prove_s"": 2.5498, ""setup_s"": 4.8227, ""verify_s"": 0.0049, ""wall_seconds"": 17.760789500025567}]",,
tarfind,verified,True,proved,1,1,0,0,False,262093,True,8.2415,3.1147,0.005,33.75468491599895,"[{""proof_bits_accounting"": 1019, ""prove_s"": 3.1147, ""setup_s"": 8.2415, ""verify_s"": 0.005, ""wall_seconds"": 33.75468491599895}]",,
ud,verified,True,proved,1,1,0,0,False,164787,True,4.9732,2.4035,0.0051,16.780424917000346,"[{""proof_bits_accounting"": 1019, ""prove_s"": 2.4035, ""setup_s"": 4.9732, ""verify_s"": 0.0051, ""wall_seconds"": 16.780424917000346}]",,
wikisort,verified,True,unsatisfiable,1,1,0,0,False,219154,True,6.8775,3.1636,0.005,24.96339962503407,"[{""proof_bits_accounting"": 1019, ""prove_s"": 3.1636, ""setup_s"": 6.8775, ""verify_s"": 0.005, ""wall_seconds"": 24.96339962503407}]",,
