attempted,backend,family,kind,metrics,mode,outcome,repetition,returncode,source_ep_rows,verified
True,Binius64,fixed-cfg,warmup,"{""crypto_prove_s"": 0.122664, ""process_wall_s"": 0.826571875018999, ""proof_bytes"": 512112, ""prove_total_s"": 0.123111875, ""setup_s"": 0.223835709, ""verify_s"": 0.09343275, ""witness_localcheck_s"": 0.00044783399999999993}",complete,verified,0,0,64,True
True,Binius64,fixed-cfg,warmup,"{""crypto_prove_s"": 0.104901833, ""process_wall_s"": 0.3659218330285512, ""proof_bytes"": 504592, ""prove_total_s"": 0.105178667, ""setup_s"": 0.167025459, ""verify_s"": 0.080635, ""witness_localcheck_s"": 0.000276708}",shadow,verified,0,0,64,True
True,Binius64,growing-cfg,warmup,"{""crypto_prove_s"": 0.109970917, ""process_wall_s"": 0.3856474159983918, ""proof_bytes"": 512144, ""prove_total_s"": 0.1104815, ""setup_s"": 0.17915725, ""verify_s"": 0.081500708, ""witness_localcheck_s"": 0.000510541}",complete,verified,0,0,64,True
True,Binius64,growing-cfg,warmup,"{""crypto_prove_s"": 0.101001083, ""process_wall_s"": 0.3684772089472972, ""proof_bytes"": 512144, ""prove_total_s"": 0.101490708, ""setup_s"": 0.175638375, ""verify_s"": 0.077660042, ""witness_localcheck_s"": 0.000489583}",shadow,verified,0,0,64,True
True,Binius64,fixed-cfg,measured,"{""crypto_prove_s"": 0.113583875, ""process_wall_s"": 0.3868522910051979, ""proof_bytes"": 512112, ""prove_total_s"": 0.114001084, ""setup_s"": 0.176038083, ""verify_s"": 0.08361025, ""witness_localcheck_s"": 0.000417084}",complete,verified,1,0,64,True
True,Binius64,fixed-cfg,measured,"{""crypto_prove_s"": 0.1052945, ""process_wall_s"": 0.3647710420191288, ""proof_bytes"": 504592, ""prove_total_s"": 0.105557042, ""setup_s"": 0.172427916, ""verify_s"": 0.07485475, ""witness_localcheck_s"": 0.00026250000000000004}",shadow,verified,1,0,64,True
True,Binius64,fixed-cfg,measured,"{""crypto_prove_s"": 0.103018, ""process_wall_s"": 0.3598671249928884, ""proof_bytes"": 504592, ""prove_total_s"": 0.103293458, ""setup_s"": 0.165630042, ""verify_s"": 0.078042916, ""witness_localcheck_s"": 0.000275375}",shadow,verified,1,0,128,True
True,Binius64,fixed-cfg,measured,"{""crypto_prove_s"": 0.104965417, ""process_wall_s"": 0.3932085410342552, ""proof_bytes"": 519632, ""prove_total_s"": 0.105582792, ""setup_s"": 0.186563125, ""verify_s"": 0.086871166, ""witness_localcheck_s"": 0.000617292}",complete,verified,1,0,128,True
True,Binius64,fixed-cfg,measured,"{""crypto_prove_s"": 0.113079125, ""process_wall_s"": 0.44189408398233354, ""proof_bytes"": 519696, ""prove_total_s"": 0.1140645, ""setup_s"": 0.218847125, ""verify_s"": 0.093256833, ""witness_localcheck_s"": 0.000985334}",complete,verified,1,0,256,True
True,Binius64,fixed-cfg,measured,"{""crypto_prove_s"": 0.104341833, ""process_wall_s"": 0.3642614589771256, ""proof_bytes"": 504592, ""prove_total_s"": 0.104617792, ""setup_s"": 0.167746, ""verify_s"": 0.079075916, ""witness_localcheck_s"": 0.000275875}",shadow,verified,1,0,256,True
True,Binius64,fixed-cfg,measured,"{""crypto_prove_s"": 0.102219125, ""process_wall_s"": 0.36005783296423033, ""proof_bytes"": 504592, ""prove_total_s"": 0.102487834, ""setup_s"": 0.170001125, ""verify_s"": 0.07502925, ""witness_localcheck_s"": 0.000268667}",shadow,verified,1,0,512,True
True,Binius64,fixed-cfg,measured,"{""crypto_prove_s"": 0.135115, ""process_wall_s"": 0.5271685410407372, ""proof_bytes"": 527248, ""prove_total_s"": 0.1368875, ""setup_s"": 0.264988208, ""verify_s"": 0.10645433299999998, ""witness_localcheck_s"": 0.0017724579999999998}",complete,verified,1,0,512,True
