attempted,backend,failed,failure_kinds,family,full_three_run_errorbar,measurements,mode,nodes,not_attempted,planned,projected_ep_rows,recorded,shape,source_ep_rows,status,typed_edges,verified
3,Binius64,0,{},fixed-cfg,True,"{""crypto_prove_s"": {""count"": 3, ""max"": 0.113583875, ""median"": 0.112452959, ""min"": 0.107919292, ""values"": [0.113583875, 0.112452959, 0.107919292]}, ""process_wall_s"": {""count"": 3, ""max"": 0.39934608299518004, ""median"": 0.3868522910051979, ""min"": 0.3837960830423981, ""values"": [0.3868522910051979, 0.39934608299518004, 0.3837960830423981]}, ""proof_bytes"": {""count"": 3, ""max"": 512112, ""median"": 512112, ""min"": 512112, ""values"": [512112, 512112, 512112]}, ""prove_total_s"": {""count"": 3, ""max"": 0.114001084, ""median"": 0.112881833, ""min"": 0.10833, ""values"": [0.114001084, 0.112881833, 0.10833]}, ""setup_s"": {""count"": 3, ""max"": 0.186408875, ""median"": 0.180376084, ""min"": 0.176038083, ""values"": [0.176038083, 0.186408875, 0.180376084]}, ""verify_s"": {""count"": 3, ""max"": 0.08665625, ""median"": 0.08361025, ""min"": 0.082110458, ""values"": [0.08361025, 0.08665625, 0.082110458]}, ""witness_localcheck_s"": {""count"": 3, ""max"": 0.00042883300000000005, ""median"": 0.000417084, ""min"": 0.000410625, ""values"": [0.000417084, 0.00042883300000000005, 0.000410625]}}",complete,6,0,3,64,3,"{""and_constraints"": 7873, ""bmul_constraints"": 1269, ""committed_words"": 16384, ""gates"": 27223, ""imul_constraints"": 0, ""native_constraint_count"": 11916, ""value_words"": 12170, ""zero_constraints"": 2774}",64,verified,7,3
3,Binius64,0,{},fixed-cfg,True,"{""crypto_prove_s"": {""count"": 3, ""max"": 0.1074015, ""median"": 0.106460291, ""min"": 0.1052945, ""values"": [0.1052945, 0.1074015, 0.106460291]}, ""process_wall_s"": {""count"": 3, ""max"": 0.36573708400828764, ""median"": 0.3647710420191288, ""min"": 0.3630032500368543, ""values"": [0.3647710420191288, 0.36573708400828764, 0.3630032500368543]}, ""proof_bytes"": {""count"": 3, ""max"": 504592, ""median"": 504592, ""min"": 504592, ""values"": [504592, 504592, 504592]}, ""prove_total_s"": {""count"": 3, ""max"": 0.107673167, ""median"": 0.10673725, ""min"": 0.105557042, ""values"": [0.105557042, 0.107673167, 0.10673725]}, ""setup_s"": {""count"": 3, ""max"": 0.172427916, ""median"": 0.17054775, ""min"": 0.168951333, ""values"": [0.172427916, 0.17054775, 0.168951333]}, ""verify_s"": {""count"": 3, ""max"": 0.075159375, ""median"": 0.074927041, ""min"": 0.07485475, ""values"": [0.07485475, 0.075159375, 0.074927041]}, ""witness_localcheck_s"": {""count"": 3, ""max"": 0.000276833, ""median"": 0.000271625, ""min"": 0.00026250000000000004, ""values"": [0.00026250000000000004, 0.000271625, 0.000276833]}}",shadow,6,0,3,12,3,"{""and_constraints"": 4969, ""bmul_constraints"": 597, ""committed_words"": 8192, ""gates"": 16730, ""imul_constraints"": 0, ""native_constraint_count"": 7104, ""value_words"": 7407, ""zero_constraints"": 1538}",64,verified,7,3
3,Binius64,0,{},fixed-cfg,True,"{""crypto_prove_s"": {""count"": 3, ""max"": 0.108981708, ""median"": 0.108071875, ""min"": 0.104965417, ""values"": [0.104965417, 0.108071875, 0.108981708]}, ""process_wall_s"": {""count"": 3, ""max"": 0.40065374999539927, ""median"": 0.40030491701327264, ""min"": 0.3932085410342552, ""values"": [0.3932085410342552, 0.40065374999539927, 0.40030491701327264]}, ""proof_bytes"": {""count"": 3, ""max"": 519632, ""median"": 519632, ""min"": 519632, ""values"": [519632, 519632, 519632]}, ""prove_total_s"": {""count"": 3, ""max"": 0.109594083, ""median"": 0.10866725, ""min"": 0.105582792, ""values"": [0.105582792, 0.10866725, 0.109594083]}, ""setup_s"": {""count"": 3, ""max"": 0.189315, ""median"": 0.188834458, ""min"": 0.186563125, ""values"": [0.186563125, 0.189315, 0.188834458]}, ""verify_s"": {""count"": 3, ""max"": 0.0883215, ""median"": 0.087847916, ""min"": 0.086871166, ""values"": [0.086871166, 0.0883215, 0.087847916]}, ""witness_localcheck_s"": {""count"": 3, ""max"": 0.000617292, ""median"": 0.000612333, ""min"": 0.000595292, ""values"": [0.000617292, 0.000595292, 0.000612333]}}",complete,6,0,3,128,3,"{""and_constraints"": 11745, ""bmul_constraints"": 2165, ""committed_words"": 32768, ""gates"": 41212, ""imul_constraints"": 0, ""native_constraint_count"": 18332, ""value_words"": 18522, ""zero_constraints"": 4422}",128,verified,7,3
3,Binius64,0,{},fixed-cfg,True,"{""crypto_prove_s"": {""count"": 3, ""max"": 0.106628167, ""median"": 0.106001, ""min"": 0.103018, ""values"": [0.103018, 0.106001, 0.106628167]}, ""process_wall_s"": {""count"": 3, ""max"": 0.36683408298995346, ""median"": 0.3623744999640621, ""min"": 0.3598671249928884, ""values"": [0.3598671249928884, 0.36683408298995346, 0.3623744999640621]}, ""proof_bytes"": {""count"": 3, ""max"": 504592, ""median"": 504592, ""min"": 504592, ""values"": [504592, 504592, 504592]}, ""prove_total_s"": {""count"": 3, ""max"": 0.106900625, ""median"": 0.106269417, ""min"": 0.103293458, ""values"": [0.103293458, 0.106269417, 0.106900625]}, ""setup_s"": {""count"": 3, ""max"": 0.168944792, ""median"": 0.167987167, ""min"": 0.165630042, ""values"": [0.165630042, 0.167987167, 0.168944792]}, ""verify_s"": {""count"": 3, ""max"": 0.080444834, ""median"": 0.078042916, ""min"": 0.074104708, ""values"": [0.078042916, 0.080444834, 0.074104708]}, ""witness_localcheck_s"": {""count"": 3, ""max"": 0.000275375, ""median"": 0.000272417, ""min"": 0.000268375, ""values"": [0.000275375, 0.000268375, 0.000272417]}}",shadow,6,0,3,12,3,"{""and_constraints"": 4969, ""bmul_constraints"": 597, ""committed_words"": 8192, ""gates"": 16730, ""imul_constraints"": 0, ""native_constraint_count"": 7104, ""value_words"": 7407, ""zero_constraints"": 1538}",128,verified,7,3
3,Binius64,0,{},fixed-cfg,True,"{""crypto_prove_s"": {""count"": 3, ""max"": 0.121976625, ""median"": 0.113079125, ""min"": 0.11247675, ""values"": [0.113079125, 0.121976625, 0.11247675]}, ""process_wall_s"": {""count"": 3, ""max"": 0.45022612501634285, ""median"": 0.44189408398233354, ""min"": 0.43912066699704155, ""values"": [0.44189408398233354, 0.45022612501634285, 0.43912066699704155]}, ""proof_bytes"": {""count"": 3, ""max"": 519696, ""median"": 519696, ""min"": 519696, ""values"": [519696, 519696, 519696]}, ""prove_total_s"": {""count"": 3, ""max"": 0.123022708, ""median"": 0.1140645, ""min"": 0.113479583, ""values"": [0.1140645, 0.123022708, 0.113479583]}, ""setup_s"": {""count"": 3, ""max"": 0.2197445, ""median"": 0.218847125, ""min"": 0.2154655, ""values"": [0.218847125, 0.2197445, 0.2154655]}, ""verify_s"": {""count"": 3, ""max"": 0.09444925, ""median"": 0.093256833, ""min"": 0.091818833, ""values"": [0.093256833, 0.091818833, 0.09444925]}, ""witness_localcheck_s"": {""count"": 3, ""max"": 0.001045917, ""median"": 0.00100275, ""min"": 0.000985334, ""values"": [0.000985334, 0.001045917, 0.00100275]}}",complete,6,0,3,256,3,"{""and_constraints"": 19489, ""bmul_constraints"": 3957, ""committed_words"": 32768, ""gates"": 69189, ""imul_constraints"": 0, ""native_constraint_count"": 31164, ""value_words"": 31225, ""zero_constraints"": 7718}",256,verified,7,3
3,Binius64,0,{},fixed-cfg,True,"{""crypto_prove_s"": {""count"": 3, ""max"": 0.109604542, ""median"": 0.104341833, ""min"": 0.103687833, ""values"": [0.104341833, 0.103687833, 0.109604542]}, ""process_wall_s"": {""count"": 3, ""max"": 0.3689864999614656, ""median"": 0.3642614589771256, ""min"": 0.3600731670157984, ""values"": [0.3642614589771256, 0.3600731670157984, 0.3689864999614656]}, ""proof_bytes"": {""count"": 3, ""max"": 504592, ""median"": 504592, ""min"": 504592, ""values"": [504592, 504592, 504592]}, ""prove_total_s"": {""count"": 3, ""max"": 0.1098715, ""median"": 0.104617792, ""min"": 0.103961416, ""values"": [0.104617792, 0.103961416, 0.1098715]}, ""setup_s"": {""count"": 3, ""max"": 0.171824291, ""median"": 0.169929125, ""min"": 0.167746, ""values"": [0.167746, 0.169929125, 0.171824291]}, ""verify_s"": {""count"": 3, ""max"": 0.079075916, ""median"": 0.075037917, ""min"": 0.073936209, ""values"": [0.079075916, 0.073936209, 0.075037917]}, ""witness_localcheck_s"": {""count"": 3, ""max"": 0.000275875, ""median"": 0.000273541, ""min"": 0.000266917, ""values"": [0.000275875, 0.000273541, 0.000266917]}}",shadow,6,0,3,12,3,"{""and_constraints"": 4969, ""bmul_constraints"": 597, ""committed_words"": 8192, ""gates"": 16730, ""imul_constraints"": 0, ""native_constraint_count"": 7104, ""value_words"": 7407, ""zero_constraints"": 1538}",256,verified,7,3
3,Binius64,0,{},fixed-cfg,True,"{""crypto_prove_s"": {""count"": 3, ""max"": 0.135115, ""median"": 0.128178417, ""min"": 0.121680583, ""values"": [0.135115, 0.128178417, 0.121680583]}, ""process_wall_s"": {""count"": 3, ""max"": 0.5271685410407372, ""median"": 0.5159754590131342, ""min"": 0.5124603339936584, ""values"": [0.5271685410407372, 0.5159754590131342, 0.5124603339936584]}, ""proof_bytes"": {""count"": 3, ""max"": 527248, ""median"": 527248, ""min"": 527248, ""values"": [527248, 527248, 527248]}, ""prove_total_s"": {""count"": 3, ""max"": 0.1368875, ""median"": 0.129905916, ""min"": 0.123426292, ""values"": [0.1368875, 0.129905916, 0.123426292]}, ""setup_s"": {""count"": 3, ""max"": 0.264988208, ""median"": 0.264719458, ""min"": 0.262546375, ""values"": [0.264988208, 0.262546375, 0.264719458]}, ""verify_s"": {""count"": 3, ""max"": 0.10645433299999998, ""median"": 0.105836458, ""min"": 0.104960292, ""values"": [0.10645433299999998, 0.104960292, 0.105836458]}, ""witness_localcheck_s"": {""count"": 3, ""max"": 0.0017724579999999998, ""median"": 0.001745625, ""min"": 0.001727458, ""values"": [0.0017724579999999998, 0.001727458, 0.001745625]}}",complete,6,0,3,512,3,"{""and_constraints"": 34977, ""bmul_constraints"": 7541, ""committed_words"": 65536, ""gates"": 125142, ""imul_constraints"": 0, ""native_constraint_count"": 56828, ""value_words"": 56633, ""zero_constraints"": 14310}",512,verified,7,3
3,Binius64,0,{},fixed-cfg,True,"{""crypto_prove_s"": {""count"": 3, ""max"": 0.106903458, ""median"": 0.102884458, ""min"": 0.102219125, ""values"": [0.102219125, 0.102884458, 0.106903458]}, ""process_wall_s"": {""count"": 3, ""max"": 0.36005783296423033, ""median"": 0.3596491659991443, ""min"": 0.3546932080062106, ""values"": [0.36005783296423033, 0.3546932080062106, 0.3596491659991443]}, ""proof_bytes"": {""count"": 3, ""max"": 504592, ""median"": 504592, ""min"": 504592, ""values"": [504592, 504592, 504592]}, ""prove_total_s"": {""count"": 3, ""max"": 0.107183875, ""median"": 0.103154792, ""min"": 0.102487834, ""values"": [0.102487834, 0.103154792, 0.107183875]}, ""setup_s"": {""count"": 3, ""max"": 0.170001125, ""median"": 0.16639325, ""min"": 0.164581333, ""values"": [0.170001125, 0.164581333, 0.16639325]}, ""verify_s"": {""count"": 3, ""max"": 0.07502925, ""median"": 0.074666042, ""min"": 0.074142125, ""values"": [0.07502925, 0.074666042, 0.074142125]}, ""witness_localcheck_s"": {""count"": 3, ""max"": 0.000280333, ""median"": 0.000270209, ""min"": 0.000268667, ""values"": [0.000268667, 0.000270209, 0.000280333]}}",shadow,6,0,3,12,3,"{""and_constraints"": 4969, ""bmul_constraints"": 597, ""committed_words"": 8192, ""gates"": 16730, ""imul_constraints"": 0, ""native_constraint_count"": 7104, ""value_words"": 7407, ""zero_constraints"": 1538}",512,verified,7,3
3,Binius64,0,{},fixed-cfg,True,"{""crypto_prove_s"": {""count"": 3, ""max"": 0.184695334, ""median"": 0.149453416, ""min"": 0.148996083, ""values"": [0.148996083, 0.149453416, 0.184695334]}, ""process_wall_s"": {""count"": 3, ""max"": 0.7831912920228206, ""median"": 0.6645377919776365, ""min"": 0.6557453330024146, ""values"": [0.6645377919776365, 0.6557453330024146, 0.7831912920228206]}, ""proof_bytes"": {""count"": 3, ""max"": 534800, ""median"": 534800, ""min"": 534800, ""values"": [534800, 534800, 534800]}, ""prove_total_s"": {""count"": 3, ""max"": 0.188060625, ""median"": 0.152821875, ""min"": 0.152295167, ""values"": [0.152295167, 0.152821875, 0.188060625]}, ""setup_s"": {""count"": 3, ""max"": 0.364927541, ""median"": 0.361283666, ""min"": 0.352292459, ""values"": [0.361283666, 0.352292459, 0.364927541]}, ""verify_s"": {""count"": 3, ""max"": 0.204054833, ""median"": 0.124698208, ""min"": 0.12423741600000002, ""values"": [0.124698208, 0.12423741600000002, 0.204054833]}, ""witness_localcheck_s"": {""count"": 3, ""max"": 0.003368292, ""median"": 0.00336525, ""min"": 0.003299042, ""values"": [0.003299042, 0.003368292, 0.00336525]}}",complete,6,0,3,1024,3,"{""and_constraints"": 65953, ""bmul_constraints"": 14709, ""committed_words"": 131072, ""gates"": 237047, ""imul_constraints"": 0, ""native_constraint_count"": 108156, ""value_words"": 107447, ""zero_constraints"": 27494}",1024,verified,7,3
3,Binius64,0,{},fixed-cfg,True,"{""crypto_prove_s"": {""count"": 3, ""max"": 0.106658, ""median"": 0.105954, ""min"": 0.104760042, ""values"": [0.106658, 0.105954, 0.104760042]}, ""process_wall_s"": {""count"": 3, ""max"": 0.3710725419805385, ""median"": 0.3619420420145616, ""min"": 0.3618876250111498, ""values"": [0.3619420420145616, 0.3710725419805385, 0.3618876250111498]}, ""proof_bytes"": {""count"": 3, ""max"": 504592, ""median"": 504592, ""min"": 504592, ""values"": [504592, 504592, 504592]}, ""prove_total_s"": {""count"": 3, ""max"": 0.106929417, ""median"": 0.106222208, ""min"": 0.105033458, ""values"": [0.106929417, 0.106222208, 0.105033458]}, ""setup_s"": {""count"": 3, ""max"": 0.169044584, ""median"": 0.1671945, ""min"": 0.164638709, ""values"": [0.164638709, 0.169044584, 0.1671945]}, ""verify_s"": {""count"": 3, ""max"": 0.083647625, ""median"": 0.077906667, ""min"": 0.077457875, ""values"": [0.077906667, 0.083647625, 0.077457875]}, ""witness_localcheck_s"": {""count"": 3, ""max"": 0.000273375, ""median"": 0.000271334, ""min"": 0.000268167, ""values"": [0.000271334, 0.000268167, 0.000273375]}}",shadow,6,0,3,12,3,"{""and_constraints"": 4969, ""bmul_constraints"": 597, ""committed_words"": 8192, ""gates"": 16730, ""imul_constraints"": 0, ""native_constraint_count"": 7104, ""value_words"": 7407, ""zero_constraints"": 1538}",1024,verified,7,3
