D,L,backend,case_id,delta_and_constraints,delta_bmul_constraints,delta_imul_constraints,delta_native_constraint_count,delta_zero_constraints,depth_bound,family,proof_requested,proof_verified,stack_pointer_bits,with_and_constraints,with_bmul_constraints,with_imul_constraints,with_native_constraint_count,with_zero_constraints,without_and_constraints,without_bmul_constraints,without_imul_constraints,without_native_constraint_count,without_zero_constraints,witness_satisfied,r1cs_constraints,smart_memory_index_bits,smart_memory_mode,smart_memory_packing
8,64,Binius64,L0064-D0008,917,380,0,1809,512,32767,length,True,True,15,7873,1269,0,11916,2774,6956,889,0,10107,2262,True,,,,
16,64,Binius64,L0064-D0016,917,380,0,1809,512,32767,diagonal,False,False,15,7873,1269,0,11916,2774,6956,889,0,10107,2262,True,,,,
8,128,Binius64,L0128-D0008,1109,764,0,2705,832,32767,length,False,False,15,11745,2165,0,18332,4422,10636,1401,0,15627,3590,True,,,,
32,128,Binius64,L0128-D0032,1109,764,0,2705,832,32767,diagonal,False,False,15,11745,2165,0,18332,4422,10636,1401,0,15627,3590,True,,,,
8,256,Binius64,L0256-D0008,1493,1532,0,4497,1472,32767,length,False,False,15,19489,3957,0,31164,7718,17996,2425,0,26667,6246,True,,,,
64,256,Binius64,L0256-D0064,1493,1532,0,4497,1472,32767,diagonal,False,False,15,19489,3957,0,31164,7718,17996,2425,0,26667,6246,True,,,,
8,512,Binius64,L0512-D0008,2261,3068,0,8081,2752,32767,length,False,False,15,34977,7541,0,56828,14310,32716,4473,0,48747,11558,True,,,,
128,512,Binius64,L0512-D0128,2261,3068,0,8081,2752,32767,diagonal,False,False,15,34977,7541,0,56828,14310,32716,4473,0,48747,11558,True,,,,
1,1024,Binius64,L1024-D0001,3797,6140,0,15249,5312,32767,depth,False,False,15,65953,14709,0,108156,27494,62156,8569,0,92907,22182,True,,,,
2,1024,Binius64,L1024-D0002,3797,6140,0,15249,5312,32767,depth,False,False,15,65953,14709,0,108156,27494,62156,8569,0,92907,22182,True,,,,
4,1024,Binius64,L1024-D0004,3797,6140,0,15249,5312,32767,depth,False,False,15,65953,14709,0,108156,27494,62156,8569,0,92907,22182,True,,,,
8,1024,Binius64,L1024-D0008,3797,6140,0,15249,5312,32767,length,False,False,15,65953,14709,0,108156,27494,62156,8569,0,92907,22182,True,,,,
8,1024,Binius64,L1024-D0008,3797,6140,0,15249,5312,32767,depth,False,False,15,65953,14709,0,108156,27494,62156,8569,0,92907,22182,True,,,,
16,1024,Binius64,L1024-D0016,3797,6140,0,15249,5312,32767,depth,False,False,15,65953,14709,0,108156,27494,62156,8569,0,92907,22182,True,,,,
32,1024,Binius64,L1024-D0032,3797,6140,0,15249,5312,32767,depth,False,False,15,65953,14709,0,108156,27494,62156,8569,0,92907,22182,True,,,,
64,1024,Binius64,L1024-D0064,3797,6140,0,15249,5312,32767,depth,False,False,15,65953,14709,0,108156,27494,62156,8569,0,92907,22182,True,,,,
128,1024,Binius64,L1024-D0128,3797,6140,0,15249,5312,32767,depth,False,False,15,65953,14709,0,108156,27494,62156,8569,0,92907,22182,True,,,,
256,1024,Binius64,L1024-D0256,3797,6140,0,15249,5312,32767,depth,True,True,15,65953,14709,0,108156,27494,62156,8569,0,92907,22182,True,,,,
256,1024,Binius64,L1024-D0256,3797,6140,0,15249,5312,32767,diagonal,True,True,15,65953,14709,0,108156,27494,62156,8569,0,92907,22182,True,,,,
