application,path_mode,repetitions,paired_aggregate_included,nodes,edges,steps,edge_cap,ep_cap,raw24_successful_runs,raw24_attempted_runs,raw24_expected_runs,raw24_status,raw24_setup_ms,raw24_prove_ms,raw24_public_preflight_ms,raw24_verify_ms,raw24_proof_bytes,raw24_wall_ms,raw24_process_wall_ms,raw24_peak_rss_bytes,raw24_peak_memory_footprint_bytes,raw24_and_constraints,raw24_imul_constraints,raw24_bmul_constraints,raw64_successful_runs,raw64_attempted_runs,raw64_expected_runs,raw64_status,raw64_setup_ms,raw64_prove_ms,raw64_public_preflight_ms,raw64_verify_ms,raw64_proof_bytes,raw64_wall_ms,raw64_process_wall_ms,raw64_peak_rss_bytes,raw64_peak_memory_footprint_bytes,raw64_and_constraints,raw64_imul_constraints,raw64_bmul_constraints,wide_over_raw24_setup_ms,wide_over_raw24_prove_ms,wide_over_raw24_public_preflight_ms,wide_over_raw24_verify_ms,wide_over_raw24_proof_bytes,wide_over_raw24_wall_ms,wide_over_raw24_process_wall_ms,wide_over_raw24_peak_rss_bytes,wide_over_raw24_peak_memory_footprint_bytes
aha-mont64,complete,3,True,40,54,1177,64,2048,3,3,3,complete,616.955,202.678,0.411,156.158,542320,1016.4933749474585,1010.0,1024884736,955909296,130551,0,31733,3,3,3,complete,1163.354,563.487,0.447,134.176,625008,1932.4487500125542,1920.0,1656012800,1548486288,343533,0,81248,1.8856383366696112,2.780208014683389,1.0875912408759125,0.8592323159876535,1.1524708659094263,1.9010933053178438,1.900990099009901,1.615803945391182,1.6199092261992187
aha-mont64,shadow,3,True,40,54,115,64,128,3,3,3,complete,225.615,113.792,0.359,92.279,519664,448.59370798803866,440.0,674856960,652690344,14391,0,4853,3,3,3,complete,276.215,118.447,0.352,83.843,527184,496.8269580276683,490.0,725254144,699220976,35373,0,14048,1.2242758681825232,1.040907972440945,0.9805013927576601,0.9085815841090606,1.0144708888820468,1.1075210132927582,1.1136363636363635,1.0746783199805778,1.071290516900921
crc32,complete,3,True,21,23,3092,32,4096,3,3,3,complete,1034.066,316.421,0.443,221.239,580416,1639.9289579712786,1630.0,1793753088,1704298272,252961,0,58869,3,3,3,complete,2069.112,576.63,0.584,158.283,625104,2940.0062499917112,2930.0,2715533312,2591410720,667351,0,148128,2.000947715136171,1.8223506025200604,1.3182844243792324,0.7154389596770913,1.0769930532583527,1.7927643973240954,1.7975460122699387,1.5138835607679801,1.5205147846327218
crc32,shadow,3,True,21,23,23,32,32,3,3,3,complete,193.306,101.082,0.317,81.298,512080,390.02049999544397,380.0,534462464,532071192,7089,0,1973,3,3,3,complete,215.627,104.885,0.341,79.565,519632,411.85279097408056,400.0,652378112,632030120,15079,0,5888,1.1154697733127787,1.0376229200055402,1.0757097791798107,0.9786833624443405,1.0147476956725512,1.05597729088315,1.0526315789473684,1.2206247509273167,1.187867581449514
cubic,complete,3,True,56,80,401,128,512,3,3,3,complete,326.717,140.328,0.375,111.036,534736,594.0622090129182,590.0,813629440,783139872,41339,0,13301,3,3,3,complete,504.47,170.644,0.389,106.418,542256,815.5015000374988,810.0,935297024,866665624,107505,0,37088,1.5440580073886576,1.2160367139843795,1.0373333333333334,0.9584098850823157,1.0140630142724634,1.3727543810479372,1.3728813559322033,1.149536850583971,1.1066549603542597
cubic,shadow,3,True,56,80,401,128,512,3,3,3,complete,329.513,147.041,0.372,108.463,534736,601.7272919998504,590.0,814055424,783565856,41339,0,13301,3,3,3,complete,498.593,184.255,0.385,116.562,542256,831.1227500089444,820.0,934707200,866403480,107505,0,37088,1.5131208783871959,1.2530858740079298,1.0349462365591398,1.0746706250057623,1.0140630142724634,1.3812282757637508,1.3898305084745763,1.1482107635953789,1.1057187770060262
edn,complete,3,True,67,88,4396,128,8192,3,3,3,complete,1798.685,595.611,0.57,163.512,625136,2683.776125020813,2680.0,2418409472,2293598416,505979,0,120821,3,3,3,complete,4134.551,1763.904,0.903,242.847,671392,6411.006417009048,6400.0,5170446336,4914286984,1340145,0,305888,2.2986520708184037,2.961503397351627,1.5842105263157897,1.4851937472479084,1.0739934990146145,2.3888007487805374,2.388059701492537,2.137953227467346,2.1426100357055704
edn,shadow,3,True,67,88,140,128,256,3,3,3,complete,262.972,130.428,0.352,98.901,527216,511.4410410169512,500.0,750747648,724337648,25851,0,9717,3,3,3,complete,379.7,138.665,0.368,102.683,534736,650.2696659881622,640.0,835420160,811746360,66417,0,28128,1.4438799568014846,1.063153617321434,1.0454545454545454,1.0382402604624827,1.0142636035325179,1.271446000295877,1.28,1.1127842521059752,1.1206739871127063
huffbench,complete,3,True,112,151,7668,256,8192,3,3,3,complete,1928.572,585.823,0.564,151.804,625136,2796.446749998722,2790.0,2346680320,2221820064,513374,0,126965,3,3,3,complete,4270.481,5804.799,0.866,242.397,721936,10600.517834012862,10590.0,5255659520,4999533008,1361108,0,325088,2.2143228253858296,9.908793270322265,1.5354609929078016,1.5967761060314616,1.1548463054439353,3.7907097047414564,3.795698924731183,2.2396146058786566,2.2501970744648023
huffbench,shadow,3,True,112,151,1442,256,2048,3,3,3,complete,656.941,189.865,0.395,157.887,542384,1048.215875052847,1040.0,1052213248,982156536,141662,0,40949,3,3,3,complete,1290.777,544.405,0.496,148.961,625008,2071.0325419786386,2060.0,1739964416,1612220096,374996,0,110048,1.9648294139047495,2.8673267848207935,1.2556962025316456,0.943465896495595,1.1523348771350188,1.9757691056474653,1.9807692307692308,1.653623368938993,1.6415103264150146
