L0064-D0008 delta {'and_constraints': 917, 'bmul_constraints': 380, 'imul_constraints': 0, 'native_constraint_count': 1809, 'zero_constraints': 512} witnesses checked
L0064-D0016 delta {'and_constraints': 917, 'bmul_constraints': 380, 'imul_constraints': 0, 'native_constraint_count': 1809, 'zero_constraints': 512} witnesses checked
L0128-D0008 delta {'and_constraints': 1109, 'bmul_constraints': 764, 'imul_constraints': 0, 'native_constraint_count': 2705, 'zero_constraints': 832} witnesses checked
L0128-D0032 delta {'and_constraints': 1109, 'bmul_constraints': 764, 'imul_constraints': 0, 'native_constraint_count': 2705, 'zero_constraints': 832} witnesses checked
L0256-D0008 delta {'and_constraints': 1493, 'bmul_constraints': 1532, 'imul_constraints': 0, 'native_constraint_count': 4497, 'zero_constraints': 1472} witnesses checked
L0256-D0064 delta {'and_constraints': 1493, 'bmul_constraints': 1532, 'imul_constraints': 0, 'native_constraint_count': 4497, 'zero_constraints': 1472} witnesses checked
L0512-D0008 delta {'and_constraints': 2261, 'bmul_constraints': 3068, 'imul_constraints': 0, 'native_constraint_count': 8081, 'zero_constraints': 2752} witnesses checked
L0512-D0128 delta {'and_constraints': 2261, 'bmul_constraints': 3068, 'imul_constraints': 0, 'native_constraint_count': 8081, 'zero_constraints': 2752} witnesses checked
L1024-D0001 delta {'and_constraints': 3797, 'bmul_constraints': 6140, 'imul_constraints': 0, 'native_constraint_count': 15249, 'zero_constraints': 5312} witnesses checked
L1024-D0002 delta {'and_constraints': 3797, 'bmul_constraints': 6140, 'imul_constraints': 0, 'native_constraint_count': 15249, 'zero_constraints': 5312} witnesses checked
L1024-D0004 delta {'and_constraints': 3797, 'bmul_constraints': 6140, 'imul_constraints': 0, 'native_constraint_count': 15249, 'zero_constraints': 5312} witnesses checked
L1024-D0008 delta {'and_constraints': 3797, 'bmul_constraints': 6140, 'imul_constraints': 0, 'native_constraint_count': 15249, 'zero_constraints': 5312} witnesses checked
L1024-D0016 delta {'and_constraints': 3797, 'bmul_constraints': 6140, 'imul_constraints': 0, 'native_constraint_count': 15249, 'zero_constraints': 5312} witnesses checked
L1024-D0032 delta {'and_constraints': 3797, 'bmul_constraints': 6140, 'imul_constraints': 0, 'native_constraint_count': 15249, 'zero_constraints': 5312} witnesses checked
L1024-D0064 delta {'and_constraints': 3797, 'bmul_constraints': 6140, 'imul_constraints': 0, 'native_constraint_count': 15249, 'zero_constraints': 5312} witnesses checked
L1024-D0128 delta {'and_constraints': 3797, 'bmul_constraints': 6140, 'imul_constraints': 0, 'native_constraint_count': 15249, 'zero_constraints': 5312} witnesses checked
L1024-D0256 delta {'and_constraints': 3797, 'bmul_constraints': 6140, 'imul_constraints': 0, 'native_constraint_count': 15249, 'zero_constraints': 5312} witnesses checked
L2048-D0008 delta {'and_constraints': 6869, 'bmul_constraints': 12284, 'imul_constraints': 0, 'native_constraint_count': 29585, 'zero_constraints': 10432} witnesses checked
L2048-D0512 delta {'and_constraints': 6869, 'bmul_constraints': 12284, 'imul_constraints': 0, 'native_constraint_count': 29585, 'zero_constraints': 10432} witnesses checked
L4096-D0008 delta {'and_constraints': 13013, 'bmul_constraints': 24572, 'imul_constraints': 0, 'native_constraint_count': 58257, 'zero_constraints': 20672} witnesses checked
L4096-D1024 delta {'and_constraints': 13013, 'bmul_constraints': 24572, 'imul_constraints': 0, 'native_constraint_count': 58257, 'zero_constraints': 20672} witnesses checked
