case_id,families,L,D,active_rows,ep_capacity,actual_depth,depth_bound,call_count,ret_count,jmp_count,witness_check_success,proof_verified,without_and_constraints,without_imul_constraints,without_bmul_constraints,without_zero_constraints,without_native_constraint_count,with_and_constraints,with_imul_constraints,with_bmul_constraints,with_zero_constraints,with_native_constraint_count,delta_and_constraints,delta_imul_constraints,delta_bmul_constraints,delta_zero_constraints,delta_native_constraint_count
L0064-D0008,length,64,8,64,64,8,32767,16,16,32,True,True,6956,0,889,2262,10107,7873,0,1269,2774,11916,917,0,380,512,1809
L0064-D0016,diagonal,64,16,64,64,16,32767,16,16,32,True,False,6956,0,889,2262,10107,7873,0,1269,2774,11916,917,0,380,512,1809
L0128-D0008,length,128,8,128,128,8,32767,32,32,64,True,False,10636,0,1401,3590,15627,11745,0,2165,4422,18332,1109,0,764,832,2705
L0128-D0032,diagonal,128,32,128,128,32,32767,32,32,64,True,False,10636,0,1401,3590,15627,11745,0,2165,4422,18332,1109,0,764,832,2705
L0256-D0008,length,256,8,256,256,8,32767,64,64,128,True,False,17996,0,2425,6246,26667,19489,0,3957,7718,31164,1493,0,1532,1472,4497
L0256-D0064,diagonal,256,64,256,256,64,32767,64,64,128,True,False,17996,0,2425,6246,26667,19489,0,3957,7718,31164,1493,0,1532,1472,4497
L0512-D0008,length,512,8,512,512,8,32767,128,128,256,True,False,32716,0,4473,11558,48747,34977,0,7541,14310,56828,2261,0,3068,2752,8081
L0512-D0128,diagonal,512,128,512,512,128,32767,128,128,256,True,False,32716,0,4473,11558,48747,34977,0,7541,14310,56828,2261,0,3068,2752,8081
L1024-D0001,depth,1024,1,1024,1024,1,32767,256,256,512,True,False,62156,0,8569,22182,92907,65953,0,14709,27494,108156,3797,0,6140,5312,15249
L1024-D0002,depth,1024,2,1024,1024,2,32767,256,256,512,True,False,62156,0,8569,22182,92907,65953,0,14709,27494,108156,3797,0,6140,5312,15249
L1024-D0004,depth,1024,4,1024,1024,4,32767,256,256,512,True,False,62156,0,8569,22182,92907,65953,0,14709,27494,108156,3797,0,6140,5312,15249
L1024-D0008,length;depth,1024,8,1024,1024,8,32767,256,256,512,True,False,62156,0,8569,22182,92907,65953,0,14709,27494,108156,3797,0,6140,5312,15249
L1024-D0016,depth,1024,16,1024,1024,16,32767,256,256,512,True,False,62156,0,8569,22182,92907,65953,0,14709,27494,108156,3797,0,6140,5312,15249
L1024-D0032,depth,1024,32,1024,1024,32,32767,256,256,512,True,False,62156,0,8569,22182,92907,65953,0,14709,27494,108156,3797,0,6140,5312,15249
L1024-D0064,depth,1024,64,1024,1024,64,32767,256,256,512,True,False,62156,0,8569,22182,92907,65953,0,14709,27494,108156,3797,0,6140,5312,15249
L1024-D0128,depth,1024,128,1024,1024,128,32767,256,256,512,True,False,62156,0,8569,22182,92907,65953,0,14709,27494,108156,3797,0,6140,5312,15249
L1024-D0256,depth;diagonal,1024,256,1024,1024,256,32767,256,256,512,True,True,62156,0,8569,22182,92907,65953,0,14709,27494,108156,3797,0,6140,5312,15249
L2048-D0008,length,2048,8,2048,2048,8,32767,512,512,1024,True,False,121036,0,16761,43430,181227,127905,0,29045,53862,210812,6869,0,12284,10432,29585
L2048-D0512,diagonal,2048,512,2048,2048,512,32767,512,512,1024,True,False,121036,0,16761,43430,181227,127905,0,29045,53862,210812,6869,0,12284,10432,29585
L4096-D0008,length,4096,8,4096,4096,8,32767,1024,1024,2048,True,False,238796,0,33145,85926,357867,251809,0,57717,106598,416124,13013,0,24572,20672,58257
L4096-D1024,diagonal,4096,1024,4096,4096,1024,32767,1024,1024,2048,True,False,238796,0,33145,85926,357867,251809,0,57717,106598,416124,13013,0,24572,20672,58257
