app,mode,encoding,ep_len,ep_cap,cfg_len,cfg_cap,constraints,padded,wall_s,outcome
aha-mont64,complete,inline14,1177,2048,54,64,336229,524288,1.26,PASS
crc32,complete,inline14,3092,4096,23,32,632805,1048576,2.07,PASS
cubic,complete,inline14,401,512,80,128,126671,131072,0.41,PASS
edn,complete,inline14,4396,8192,88,128,1288399,2097152,4.57,PASS
huffbench,complete,inline14,7668,8192,151,256,1339493,2097152,5.60,PASS
matmult-int,complete,inline14,38,64,42,64,34747,65536,0.23,PASS
md5sum,complete,inline14,7230,8192,81,128,1288399,2097152,4.48,PASS
minver,complete,inline14,352,512,115,128,126671,131072,0.46,PASS
nbody,complete,inline14,114,128,50,64,44773,65536,0.19,PASS
nettle-aes,complete,inline14,1854,2048,114,128,360655,524288,1.17,PASS
nettle-sha256,complete,inline14,116,128,85,128,67151,131072,0.27,PASS
nsichneu,complete,inline14,661,1024,1417,2048,924773,1048576,3.22,PASS
primecount,complete,inline14,1898,2048,40,64,336229,524288,1.11,PASS
sglib-combined,complete,shared24,31758,32768,446,512,5217998,8388608,18.21,PASS
slre,complete,inline14,2337,4096,376,512,820325,1048576,3.23,PASS
st,complete,inline14,1147,2048,56,64,336229,524288,1.32,PASS
statemate,complete,inline14,232,256,531,1024,408827,524288,2.03,PASS
tarfind,complete,inline14,3185,4096,57,64,645371,1048576,2.71,PASS
ud,complete,inline14,413,512,71,128,126671,131072,0.57,PASS
aha-mont64,shadow,inline14,115,128,54,64,44773,65536,0.26,PASS
crc32,shadow,inline14,23,32,23,32,18607,32768,0.14,PASS
cubic,shadow,inline14,401,512,80,128,126671,131072,0.56,PASS
edn,shadow,inline14,140,256,88,128,87397,131072,0.43,PASS
huffbench,shadow,inline14,1442,2048,151,256,409701,524288,1.93,PASS
matmult-int,shadow,inline14,37,64,42,64,34747,65536,0.25,PASS
md5sum,shadow,inline14,441,512,81,128,126671,131072,0.62,PASS
minver,shadow,inline14,224,256,115,128,87397,131072,0.45,PASS
nbody,shadow,inline14,66,128,50,64,44773,65536,0.24,PASS
nettle-aes,shadow,inline14,190,256,114,128,87397,131072,0.38,PASS
nettle-sha256,shadow,inline14,59,64,85,128,56613,65536,0.25,PASS
nsichneu,shadow,inline14,653,1024,1417,2048,924773,1048576,4.03,PASS
picojpeg,shadow,shared24,29375,32768,892,1024,5430372,8388608,23.71,PASS
primecount,shadow,inline14,1141,2048,40,64,336229,524288,1.28,PASS
sglib-combined,shadow,inline14,13971,16384,446,512,2679909,4194304,12.12,PASS
slre,shadow,inline14,651,1024,376,512,349285,524288,1.46,PASS
st,shadow,inline14,58,64,56,64,34747,65536,0.19,PASS
statemate,shadow,inline14,106,128,531,1024,381413,524288,1.93,PASS
tarfind,shadow,inline14,294,512,57,64,103269,131072,0.49,PASS
ud,shadow,inline14,228,256,71,128,87397,131072,0.41,PASS
wikisort,shadow,inline14,10730,16384,481,512,2679909,4194304,11.78,PASS
wikisort,complete,shared24,125806,131072,481,512,20233934,33554432,85.63,PASS
picojpeg,complete,shared24,137169,262144,892,1024,40735226,67108864,199.10,PASS
